scientificName,mat_change,tap_change,sea_t_change,sea_p_change
Luscinia_svecica,1.67776637202598,-25.8966702171881,-44.5450724107937,0.0536264588572028
Riparia_riparia,1.75205715275486,-17.5921634248206,-46.4959679983694,0.0608931010120105
Lyrurus_tetrix,1.64308954835925,-28.0410730279161,-45.1696155970769,0.0687532752076086
Mareca_strepera,1.70994783685324,-27.7839146477922,-45.0979967238027,0.0576882836177754
Acrocephalus_schoenobaenus,1.71551246527632,-26.2215904840876,-45.7951273435438,0.0546786848934149
Ixobrychus_minutus,1.70995270512928,-20.795020345901,-48.0455851949044,0.0516781950303493
Podiceps_nigricollis,1.71088579635215,-26.6517805884961,-45.6927146924408,0.056379495461002
Botaurus_stellaris,1.72106832734849,-21.1673168758032,-46.490517742885,0.0542252877366904
Galerida_cristata,1.73042695160036,-19.3771016058931,-47.2791270237,0.0482952638875927
Locustella_luscinioides,1.72264248121344,-23.8560073285419,-45.91181222294,0.0673103016673709
Motacilla_flava,1.7273030326894,-19.8484240166921,-46.9149465167173,0.0549765728778137
Phalacrocorax_carbo,1.67760943925691,-26.6643796669361,-45.1860454424183,0.0735052580935079
Falco_subbuteo,1.68670358169731,-26.3903492055312,-47.1362309041714,0.0484161332237508
Upupa_epops,1.71110617672628,-22.2323341238673,-47.474401391703,0.0562709110014884
Falco_cherrug,1.6745950918651,-13.8513800033411,-52.6647534012594,0.0638111286087392
Tetrastes_bonasia,1.65966133900196,-28.675015684209,-48.2364320558972,0.0325981452589202
Turdus_torquatus,1.63391462100245,-29.5334034369183,-48.6936664849732,0.0217861213633635
Porzana_porzana,1.69435278690877,-28.6002804238622,-45.1874029374361,0.0570521318238223
Netta_rufina,1.66951839125022,-18.1632452916418,-49.0055742522809,0.0750068341229065
Spatula_clypeata,1.72636998352357,-24.5277506836864,-45.5363847894158,0.0601945385268467
Bucephala_clangula,1.68057232953506,-23.8542588323626,-44.1317036456314,0.0682168378777039
Anthus_spinoletta,1.6313538892624,-5.56213956681992,-52.0520805540634,0.00360726187235517
Picoides_tridactylus,1.65829566706671,-32.2210996369749,-48.5992709765073,0.0371515621287623
Tetrao_urogallus,1.58952653350818,-46.7787955766792,-44.640189415343,0.0495082080713236
Anser_anser,1.68895431857928,-19.3593159032726,-47.4579318197916,0.0762229998049118
Anthus_campestris,1.75298324994232,-11.0446157655085,-48.600846551254,0.0537474469885205
Nycticorax_nycticorax,1.66789855524098,-18.8207591022293,-47.5746234295552,0.0819558932053792
Panurus_biarmicus,1.71155904585234,-21.935505453217,-46.8506809734209,0.0572545175431023
Merops_apiaster,1.70515383808977,-16.5142174533008,-50.0932475177769,0.0635916208422507
Tringa_totanus,1.71007986791353,-21.6269476850377,-48.4487499998349,0.058879036424055
Sterna_hirundo,1.68274656323466,-21.1108028920834,-47.6975670260348,0.0567238408224015
Dendrocopos_syriacus,1.70627452418496,-13.8598347572927,-52.5258525863163,0.0600053017715404
Dendrocopos_leucotos,1.72068293794156,-14.5219314605585,-53.2564423366185,0.0219786906142672
